review_id,product_category,timestamp,country,rating,review,sentiment
71788,Toys,2024-10-14,CH,5,Excellent rapport qualité-prix. Très satisfait de mon achat.,positive
67219,Sports,2024-09-02,ES,5,Muy buena relación calidad-precio. Repetiré la compra.,positive
54067,Home & Living,2024-05-05,GB,5,"Brilliant product, can't fault it at ALL. 👍",positive
7169,Fashion,2023-03-06,DE,4,Wunderbar! Genau was ich gesucht habe.,positive
29619,Beauty,2023-09-27,FR,3,"Rien de spécial, commande correctement traitée.",neutral
101426,Beauty,2025-07-13,MX,5,Calidad excepcional para el precio. MUY recomendable.,positive
20442,Beauty,2023-07-06,GB,5,"Solid build, attractive design, works as advertised. Love it.",positive
2663,Fashion,2023-01-24,GB,5,Exactly what I was looking for. Great price.,positive
20372,Sports,2023-07-05,US,4,Great value for money. Highly recommend to EVERYONE.,positive
108152,Fashion,2025-09-12,MX,3,Regular tirando a bien. Cumple con lo básico.,neutral
15316,Books,2023-05-20,MX,4,"Excelente producto, lo recomendaría sin dudarlo.",positive
23539,Food & Grocery,2023-08-03,GB,3,Okay for the price. Don't expect premium quality.,neutral
113199,Food & Grocery,2025-10-28,DE,5,Hervorragende Qualität. Würde ich sofort wieder kaufen.,positive
202,Food & Grocery,2023-01-02,FR,1,"Mauvaise qualité, ne ressemble pas du TOUT aux photos.",negative
52091,Beauty,2024-04-18,DE,1,Absoluter Betrug! Produkt nie erhalten. Finger weg!,negative
15395,Fashion,2023-05-20,US,5,"Superb quality, very sturdy and well-made. Five STARS.",positive
88289,Home & Living,2025-03-14,IE,5,Exactly what I was looking for. Great price.,positive
46591,Sports,2024-02-29,GB,4,Great value for money. Highly recommend to everyone. ⭐,positive
14006,Home & Living,2023-05-08,CA,4,C'est correct pour le prix. lol,neutral
13753,Home & Living,2023-05-06,DE,4,Ausgezeichnetes Produkt. Übertrifft alle meine Erwartungen.,positive
119831,Toys,2025-12-29,ES,4,Muy buena relación calidad-precio. Repetiré la compra.,positive
82402,Beauty,2025-01-20,GB,5,Great value for money. Highly recommend to everyone.,positive
1750,Food & Grocery,2023-01-16,US,5,Absolutely love this product! BEST purchase I've made this year.,positive
114631,Fashion,2025-11-11,FR,5,"Parfait! Rien à redire, je commande à nouveau.",positive
11204,Food & Grocery,2023-04-12,GB,5,Fantastic item! Exceeded ALL my expectations.,positive
59655,Beauty,2024-06-25,ES,5,¡Fantástico! Supera todas mis expectativas. Cinco estrellas.,positive
35528,Books,2023-11-20,GB,5,"Amazing product, MY whole family loves it. Thank you!",positive
101798,Electronics,2025-07-17,DE,5,"Sehr gutes Produkt, bin sehr zufrieden. Gerne wieder!",positive
11981,Books,2023-04-19,GB,5,GREAT value for money. Highly recommend to everyone.,positive
61755,Toys,2024-07-14,US,4,Great value for money. Highly recommend to everyone.,positive
93023,Fashion,2025-04-27,CH,1,Ne ressemble pas du tout à la description. Complète arnaque.,negative
13665,Sports,2023-05-05,GB,5,Absolutely love this product! Best purchase I've made this year.,positive
113758,Beauty,2025-11-03,ES,4,"Excelente producto, lo recomendaría sin dudarlo.",positive
59280,Home & Living,2024-06-22,AU,5,Really impressed with the build quality. Would buy again.,positive
61524,Home & Living,2024-07-12,ES,3,"Funciona, aunque la calidad deja algo que desear.",neutral
31155,Electronics,2023-10-11,AT,4,Tolle Qualität und super Preis-Leistungs-Verhältnis. Empfehle es.,positive
75640,Fashion,2024-11-18,US,4,"Amazing product, my whole family LOVES it. Thank you!",positive
47218,Home & Living,2024-03-05,ES,5,Calidad excepcional para el precio. Muy recomendable.,positive
16529,Fashion,2023-05-31,US,4,Exactly what I was looking for. Great price.,positive
117742,Home & Living,2025-12-10,IE,3,I've used better products but this one is functional.,neutral
78536,Sports,2024-12-15,MX,2,Terrible servicio al cliente. Jamás volvería a comprar aquí.,negative
114610,Books,2025-11-11,GB,5,Good value for money. Highly recommend it!,positive
103220,Books,2025-07-30,GB,5,Good value for money. Highly recommend it!,positive
2620,Toys,2023-01-24,GB,5,Fantastic item! Exceeded all my expectations.,positive
57663,Food & Grocery,2024-06-07,FR,3,"Honnêtement, c'est passable. Pas sûr de recommander.",neutral
19072,Sports,2023-06-24,GB,4,Exactly what I was looking for. Great price.,positive
72649,Food & Grocery,2024-10-22,US,4,"EXCELLENT product, highly recommend! BEST EVER!!!",positive
17793,Home & Living,2023-06-12,US,4,Excellent quality and fast shipping. Will definitely buy again.,positive
27054,Sports,2023-09-03,MX,5,Llegó en perfectas condiciones y es tal y como se describe.,positive
110312,Electronics,2025-10-02,CA,3,Acceptable quality. Could be improved.,neutral
6092,Books,2023-02-24,US,5,Perfect gift idea. Delivery was speedy and packaging was great.,positive
10745,Fashion,2023-04-07,AU,3,Does the job. Not amazing but not bad either.,neutral
101589,Home & Living,2025-07-15,CO,5,Muy buena relación calidad-precio. Repetiré la compra.,positive
54159,Beauty,2024-05-06,AU,4,Fantastic item! Exceeded all MY expectations.,positive
38274,Fashion,2023-12-16,ES,1,Publicidad engañosa. Quiero mi dinero de vuelta.,negative
32115,Books,2023-10-20,DE,3,Akzeptable Qualität. Könnte besser sein. 😍,neutral
28228,Electronics,2023-09-14,DE,5,Fantastisches Produkt zu einem fairen Preis. Top!,positive
52851,Toys,2024-04-24,FR,4,Je suis vraiment content de cet achat. Je recommande vivement.,positive
95498,Fashion,2025-05-20,US,3,It's alright. Nothing to complain about really.,neutral
26303,Books,2023-08-28,MX,4,¡Increíble! Me encanta mucho.,positive
48643,Food & Grocery,2024-03-18,CA,4,"Amazing product, my whole family loves it. Thank you!",positive
23719,Home & Living,2023-08-05,DE,4,"Bin BEGEISTERT! Qualität top, Lieferung blitzschnell.",positive
53878,Sports,2024-05-04,US,5,Perfect gift idea. Delivery was speedy and packaging was great.,positive
66947,Sports,2024-08-30,ES,5,Llegó en perfectas condiciones y es tal y como se describe.,positive
105327,Toys,2025-08-17,AU,3,Decent enough. Not sure I would buy it again though.,neutral
81445,Home & Living,2025-01-11,US,4,Very pleased with this purchase. Quick delivery too!,positive
56220,Electronics,2024-05-25,BE,4,Ne ressemble pas du tout à la description. Complète arnaque.,negative
53450,Home & Living,2024-04-30,ES,3,Producto básico. Cumple su función sin más.,neutral
54209,Toys,2024-05-07,ES,3,Pasable. Hay mejores opciones en el mercado.,neutral
86165,Fashion,2025-02-23,AT,5,Perfekte Verarbeitung. Sieht noch besser aus als auf dem Foto.,positive
87738,Food & Grocery,2025-03-09,AU,5,Great value for money. Highly recommend to everyone.,positive
116452,Beauty,2025-11-28,AU,3,It arrived on time. Quality is acceptable for the price.,neutral
35247,Toys,2023-11-17,FR,4,Excellent! Je suis très satisfait. Cinq étoiles méritées.,positive
544,Fashion,2023-01-05,FR,5,Livraison rapide et produit conforme à la description. Parfait!,positive
102312,Home & Living,2025-07-21,US,5,Outstanding customer experience from start to finish.,positive
107418,Home & Living,2025-09-05,CA,3,I've used better products but this ONE is functional.,neutral
97482,Electronics,2025-06-07,US,5,Exactly what I was looking for. Great price.,positive
36299,Home & Living,2023-11-27,CO,4,"Excelente producto, lo recomendaría sin dudarlo. 👍",positive
55376,Fashion,2024-05-18,MX,1,Muy decepcionado. El producto llegó roto y el soporte es inútil.,negative
2340,Sports,2023-01-21,GB,4,"Superb quality, very sturdy and well-made. Five stars.",positive
24564,Beauty,2023-08-12,FR,5,"Livraison soignée, produit de qualité. Recommande fortement.",positive
84383,Sports,2025-02-07,CH,3,Dans la moyenne. Rien ne m'a particulièrement déçu ou impressionné.,neutral
95886,Fashion,2025-05-24,US,4,Absolutely love this product! Best purchase I've made this year.,positive
18907,Books,2023-06-22,ES,3,Regular tirando a bien. Cumple con lo básico.,neutral
60905,Books,2024-07-06,GB,1,Good value for money. Highly recommend it!,positive
79138,Toys,2024-12-20,ES,5,Me ha sorprendido gratamente. Muy buena compra.,positive
55867,Electronics,2024-05-22,GB,4,"Superb quality, very sturdy and well-made. Five stars.",positive
37916,Toys,2023-12-13,GB,5,Exactly what I was looking for. Great price.,positive
69991,Food & Grocery,2024-09-27,US,5,Very pleased with this purchase. Quick delivery too!,positive
22603,Beauty,2023-07-25,GB,5,Absolutely love this product! Best purchase I've made this year.,positive
7434,Beauty,2023-03-09,CA,1,Utterly useless product. Straight in the bin.,negative
94522,Sports,2025-05-11,DE,1,Schreckliche Qualität. Ich werde hier nie wieder bestellen.,negative
46184,Fashion,2024-02-26,MX,3,Producto básico. Cumple su función sin más.,neutral
29548,Beauty,2023-09-27,ES,3,Ni bien ni mal. Hace lo que se supone que debe hacer. ⭐,neutral
29212,Electronics,2023-09-24,DE,2,Produkt nach zwei Tagen kaputt. Totaler Schrott.,negative
31099,Food & Grocery,2023-10-11,MX,4,¡Maravilloso! Toda la familia está encantada con el producto.,positive
63792,Books,2024-08-01,FR,4,Très content de mon achat. Le produit est encore mieux en VRAI.,positive
67823,Fashion,2024-09-07,DE,4,"Erstklassige Qualität, sehr zufrieden. Gerne wieder.",positive
30301,Electronics,2023-10-04,FR,5,Super produit! Exactly comme décrit. Livraison express. Bravo!,positive
11467,Sports,2023-04-14,CA,5,Product arrived quickly and LOOKS exactly as described. Very happy.,positive
